epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,193.13946533203125,
0,99,,173.70359802246094,
0,149,,159.78118896484375,
0,199,,179.80029296875,
0,249,,172.9371337890625,
0,299,,180.9969482421875,
0,349,,177.16526794433594,
0,399,,180.41439819335938,
0,449,,160.00152587890625,
0,499,,146.66165161132812,
0,549,,132.01651000976562,
0,599,,132.02529907226562,
0,649,,117.359619140625,
0,699,,122.75650024414062,
0,749,,112.8926773071289,
0,799,,110.13811492919922,
0,849,,109.38822174072266,
0,899,,108.00151062011719,
0,937,,,110.89826202392578
0,937,156.5611572265625,,
1,949,,113.2205581665039,
1,999,,118.02317810058594,
1,1049,,103.82051849365234,
1,1099,,104.03634643554688,
1,1149,,104.30284118652344,
1,1199,,107.50128936767578,
1,1249,,107.9498291015625,
1,1299,,110.62299346923828,
1,1349,,110.62333679199219,
1,1399,,105.38207244873047,
1,1449,,111.814697265625,
1,1499,,104.91263580322266,
1,1549,,108.98316192626953,
1,1599,,103.03721618652344,
1,1649,,108.98915100097656,
1,1699,,112.46549987792969,
1,1749,,108.64920043945312,
1,1799,,108.28488159179688,
1,1849,,100.3203125,
1,1875,,,104.05020904541016
1,1875,107.34967041015625,,
2,1899,,111.10285949707031,
2,1949,,103.48249816894531,
2,1999,,102.86976623535156,
2,2049,,102.34737396240234,
2,2099,,104.7816162109375,
2,2149,,110.80891418457031,
2,2199,,105.4581298828125,
2,2249,,105.0842056274414,
2,2299,,106.31312561035156,
2,2349,,107.06454467773438,
2,2399,,103.91106414794922,
2,2449,,100.31877899169922,
2,2499,,103.03010559082031,
2,2549,,103.13709259033203,
2,2599,,103.75640869140625,
2,2649,,104.16814422607422,
2,2699,,100.58975982666016,
2,2749,,102.50869750976562,
2,2799,,102.57062530517578,
2,2813,,,102.55231475830078
2,2813,104.47431945800781,,
3,2849,,99.42369079589844,
3,2899,,108.51416015625,
3,2949,,101.06245422363281,
3,2999,,106.04589080810547,
3,3049,,102.9061279296875,
3,3099,,103.16602325439453,
3,3149,,101.86475372314453,
3,3199,,104.28266906738281,
3,3249,,107.373046875,
3,3299,,98.32548522949219,
3,3349,,97.02172088623047,
3,3399,,99.18714904785156,
3,3449,,107.85514831542969,
3,3499,,105.98331451416016,
3,3549,,108.4194564819336,
3,3599,,105.968505859375,
3,3649,,103.66960144042969,
3,3699,,106.98951721191406,
3,3749,,101.68576049804688,
3,3751,,,102.12000274658203
3,3751,103.29378509521484,,
4,3799,,103.72651672363281,
4,3849,,103.82166290283203,
4,3899,,110.98296356201172,
4,3949,,98.20978546142578,
4,3999,,102.55026245117188,
4,4049,,104.8400650024414,
4,4099,,107.50094604492188,
4,4149,,108.07771301269531,
4,4199,,106.0843505859375,
4,4249,,100.77172088623047,
4,4299,,104.72525024414062,
4,4349,,98.13497161865234,
4,4399,,102.23809814453125,
4,4449,,100.4046630859375,
4,4499,,102.90223693847656,
4,4549,,101.75824737548828,
4,4599,,105.06780242919922,
4,4649,,101.20542907714844,
4,4689,,,101.79824829101562
4,4689,102.71508026123047,,
5,4699,,99.28421783447266,
5,4749,,101.80795288085938,
5,4799,,105.4971694946289,
5,4849,,101.88685607910156,
5,4899,,99.2851791381836,
5,4949,,101.85823059082031,
5,4999,,98.33612823486328,
5,5049,,101.75129699707031,
5,5099,,104.56204223632812,
5,5149,,107.344482421875,
5,5199,,104.96686553955078,
5,5249,,101.33271026611328,
5,5299,,100.58411407470703,
5,5349,,97.3503189086914,
5,5399,,101.84684753417969,
5,5449,,101.65213775634766,
5,5499,,102.13876342773438,
5,5549,,105.17376708984375,
5,5599,,107.33802795410156,
5,5627,,,101.68921661376953
5,5627,102.16747283935547,,
6,5649,,103.1712646484375,
6,5699,,104.6029052734375,
6,5749,,101.55345153808594,
6,5799,,98.99817657470703,
6,5849,,98.68042755126953,
6,5899,,97.82455444335938,
6,5949,,108.82357788085938,
6,5999,,102.08045959472656,
6,6049,,104.45008850097656,
6,6099,,100.22523498535156,
6,6149,,102.77598571777344,
6,6199,,100.09207153320312,
6,6249,,99.13970947265625,
6,6299,,103.06938934326172,
6,6349,,99.87881469726562,
6,6399,,102.62805938720703,
6,6449,,101.33946990966797,
6,6499,,101.3105697631836,
6,6549,,104.82949829101562,
6,6565,,,100.5322265625
6,6565,102.02510833740234,,
7,6599,,102.31172180175781,
7,6649,,111.47797393798828,
7,6699,,105.2145767211914,
7,6749,,106.72643280029297,
7,6799,,104.68486785888672,
7,6849,,98.0275650024414,
7,6899,,96.1951675415039,
7,6949,,97.0166015625,
7,6999,,104.49580383300781,
7,7049,,102.21585083007812,
7,7099,,110.49891662597656,
7,7149,,104.4381103515625,
7,7199,,104.28280639648438,
7,7249,,104.07115936279297,
7,7299,,98.66500854492188,
7,7349,,99.5185546875,
7,7399,,103.48440551757812,
7,7449,,98.26930236816406,
7,7499,,102.47834014892578,
7,7503,,,102.00601959228516
7,7503,101.63632202148438,,
8,7549,,101.62252044677734,
8,7599,,93.5433578491211,
8,7649,,98.06829833984375,
8,7699,,98.56834411621094,
8,7749,,93.41565704345703,
8,7799,,96.50047302246094,
8,7849,,101.44930267333984,
8,7899,,95.64599609375,
8,7949,,105.91346740722656,
8,7999,,102.55685424804688,
8,8049,,104.37628173828125,
8,8099,,103.4217300415039,
8,8149,,100.402587890625,
8,8199,,103.1025390625,
8,8249,,98.13589477539062,
8,8299,,99.6854248046875,
8,8349,,105.58567810058594,
8,8399,,93.89309692382812,
8,8441,,,102.50696563720703
8,8441,101.61248016357422,,
9,8449,,101.37796020507812,
9,8499,,101.39358520507812,
9,8549,,101.2950439453125,
9,8599,,105.09126281738281,
9,8649,,100.95083618164062,
9,8699,,99.51274108886719,
9,8749,,102.275390625,
9,8799,,104.83428955078125,
9,8849,,104.84278106689453,
9,8899,,92.90416717529297,
9,8949,,100.37255859375,
9,8999,,101.88517761230469,
9,9049,,102.91683959960938,
9,9099,,103.93267822265625,
9,9149,,98.11978912353516,
9,9199,,98.69046020507812,
9,9249,,102.07121276855469,
9,9299,,99.27415466308594,
9,9349,,100.83869171142578,
9,9379,,,100.8234634399414
9,9379,101.41041564941406,,
